Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Customer: C2,,,,,,,,
Sl No.,MACHINE,SECTION,C / L (cut length) IN MM,PROCESS,CYCLE TIME,,,
1,CNC-6,2122,796.5,Raidius cutting,4 Mins,,,
2,VMC-2,2123(U),418.2,Side milling,5 Mins,,,
3,VMC-4 & 5,2123(L),428.75,Side milling,18 mins,,,
4,VMC-1,2191,489.7,Slitting,6 min ,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Customer: AGAM,,,,,,,,
Sl No.,MACHINE,SECTION,C / L (cut length) IN MM,PROCESS,CYCLE TIME,,,
1,CNC-5,90129,2540,MILLING,3.5 Mins,,,
2,CNC-3,90129,2540,MILLING,15 Mins,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Customer: MEDIT,,,,,,,,
Sl No.,MACHINE,SECTION,C / L (cut length) IN MM,1st Setup,2nd Setup,3rd Setup,4th Setup,CYCLE TIME
1,VMC-1,86289,914.4,Milling,,,,5 Mins
,,,,,Tap holes,,,5 Mins
,,,,,,Tap holes,,5 Mins
2,VMC-1,86290,914.4,Milling,,,,5 Mins
,,,,,Tap holes,,,5 Mins
,,,,,,Tap holes,,5 Mins
3,VMC-2,86291,914.4,Milling,,,,12 Mins
4,CNC-2,,,,Milling,,,8 Mins
5,VMC-3,,,,,CSK Holes,,5 Mins
,,,,,,,CSK Holes,5 Mins
6,VMC-2,86292,914.4,Milling,,,,12 Mins
7,CNC-2,,,,Milling,,,8 Mins
8,VMC-3,,,,,CSK Holes,,5 Mins
,,,,,,,CSK Holes,5 Mins
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Q-Railing cycle times,,,,,,,,
Sl No.,MACHINE,SECTION,C / L (cut length) IN MM,1st Setup,2nd Setup,CYCLE TIME,,
1,CNC-3,1755,5000,"10 MM SLOT,3MM PRE DRILL, 
3MM DRILLING",,12 MINS,,
2,CNC-4,1755,5000,,14 X 90DEGREE DRILLING,15 MINS,,
3,CNC-4,1755,3000,,14 X 90DEGREE DRILLING,8 MINS,,
4,CNC-2,1758,5000,"16mm Slot, 14mm Drilling",,10 MINS,,
5,CNC-3,1758,5000,,6mm Drain holes,8 MINS,,
6,CNC-2,1759,5000,8MM DRILLING & 16MM SLOT,,7 MINS,,
7,CNC-3,1759,5000,,14 X26 MM DRILLING,8MINS,,
8,CNC-3,1770,6100,8MM DRILLING & 16MM SLOT,,9 MINS,,
9,CNC-4,1770,6100,,14 X36 DRILLING,9 MINS,,
10,CNC-2 ,99719,1107,17MM PRE DRILL  & 18MM DRILLING,,4 MINS,,
11,CNC-2 ,99719,1107,,8X18 MM DRILLING,5 MINS,,
12,CNC-2 ,99719,5000,17MM PRE DRILL  & 18MM DRILLING,,10 MINS,,
13,CNC-2 ,99719,5000,,"17MM PRE DRILL  &
 18MM DRILLING",10 MINS,,
14,CNC-2 ,99719,5000,"9MM & 17MM PRE DRILLING & 
18 MM DRILLING",,16 MINS,,
15,CNC-4,1780,2500,8MM DRILLING & 16MM SLOT,,5 MINS,,
16,CNC-4,1780,2500,,14X28 DRILLING,6 MINS,,
17,CNC-3,1792,5000,8MM DRILLING & 16MM SLOT,,7 MINS,,
18,CNC-3,1792,5000,,14 X33 DRILLING,8 MINS,,
19,CNC-3,1792,6100,8MM DRILLING & 16MM SLOT,14 X33 DRILLING,14 MINS,,
20,CNC-4,1792,6100,8MM DRILLING & 16MM SLOT,14 X33 DRILLING,14 MINS,,
21,CNC-2,1800,5000,8MM DRILLING,,4 MINS,,
22,CNC-4,1800,5000,,14 X33 DRILLING,15 MINS,,
23,CNC-2,2430,5000,8MM DRILLING,,4 MINS,,
24,CNC-4,2430,5000,,14 X33 DRILLING,15 MINS,,
25,CNC-3,2439,5000,8MM DRILLING & 16MM SLOT,14 X33 DRILLING,14 MINS,,
26,CNC-4,2441,5000,8MM DRILLING,14X28 MM DRILLING,15 MINS,,
27,CNC-2,2444,2500,8MM DRILLING,,4 MINS,,
28,CNC-4,2444,2500,,14 X33 DRILLING,9 MINS,,
29,CNC-3,2444,5000,8MM DRILLING,,4 MINS,,
30,CNC-4,2444,5000,,14 X33 DRILLING,15 MINS,,
31,CNC-3,2464,3050,8MM DRILLING,,3 MINS,,
32,CNC-4,2464,3050,,14 X33 DRILLING,8 MINS,,
33,CNC-3,2464,5000,8MM DRILLING,,16 MINS,,
34,CNC-4,2464,5000,,14 X33 DRILLING,15 MINS,,
35,CNC-3,2465,3050,8MM DRILLING,,3 MINS,,
36,CNC-4,2465,3050,,14 X33 DRILLING,5 MINS,,
37,CNC-3,2465,5000,8MM DRILLING,,8 MINS,,
38,CNC-4,2465,5000,,14 X33 DRILLING,8 MINS,,
39,CNC-2,99721,5000,8MM DRILLING & 16MM SLOT,14X21 DRILLING,12 MINS,,
40,VMC,93223,616,16X116 mm  SLOT MILLING  & 45° Cutting   ,,10 MINS,,
41,VMC,93224,590,16X116 mm  SLOT MILLING,,6 MINS,,
42,VMC,93225,627,16X116 mm  SLOT MILLING  & 45° Cutting   ,,10 MINS,,
43,VMC,93226,590,16X116 mm  SLOT MILLING,,6 MINS,,
44,CNC-2,99643,5000,6MM DRILLING & 10MM SLOT,10.5X20 MM DRILLING,10 MINS,,
